key,nodes,strategy,geo,round,seconds,coverage
100-rarest-first-geo,100,rarest-first,1,3,90,0.2286
100-rarest-first-geo,100,rarest-first,1,4,120,0.303
100-rarest-first-geo,100,rarest-first,1,5,150,0.3636
100-rarest-first-geo,100,rarest-first,1,6,180,0.4283
100-rarest-first-geo,100,rarest-first,1,7,210,0.48
100-rarest-first-geo,100,rarest-first,1,8,240,0.5235
100-rarest-first-geo,100,rarest-first,1,9,270,0.5487
100-rarest-first-geo,100,rarest-first,1,10,300,0.5702
100-rarest-first-geo,100,rarest-first,1,11,330,0.5915
100-rarest-first-geo,100,rarest-first,1,12,360,0.6078
100-rarest-first-geo,100,rarest-first,1,13,390,0.6123
100-rarest-first-geo,100,rarest-first,1,14,420,0.613
100-rarest-first-geo,100,rarest-first,1,15,450,0.6134
100-rarest-first-geo,100,rarest-first,1,16,480,0.6134
100-rarest-first-geo,100,rarest-first,1,17,510,0.6134
100-rarest-first-geo,100,rarest-first,1,18,540,0.6134
100-rarest-first-geo,100,rarest-first,1,19,570,0.6134
100-rarest-first-geo,100,rarest-first,1,20,600,0.6134
100-rarest-first-geo,100,rarest-first,1,21,630,0.6134
100-rarest-first-geo,100,rarest-first,1,22,660,0.6134
100-rarest-first-geo,100,rarest-first,1,23,690,0.6134
100-rarest-first,100,rarest-first,0,0,0,0.0219
100-rarest-first,100,rarest-first,0,1,30,0.0758
100-rarest-first,100,rarest-first,0,2,60,0.1685
100-rarest-first,100,rarest-first,0,3,90,0.2635
100-rarest-first,100,rarest-first,0,4,120,0.3592
100-rarest-first,100,rarest-first,0,5,150,0.4483
100-rarest-first,100,rarest-first,0,6,180,0.5435
100-rarest-first,100,rarest-first,0,7,210,0.6125
100-rarest-first,100,rarest-first,0,8,240,0.6872
100-rarest-first,100,rarest-first,0,9,270,0.7561
100-rarest-first,100,rarest-first,0,10,300,0.8101
100-rarest-first,100,rarest-first,0,11,330,0.8493
100-rarest-first,100,rarest-first,0,12,360,0.8886
100-rarest-first,100,rarest-first,0,13,390,0.9354
100-rarest-first,100,rarest-first,0,14,420,0.9703
100-rarest-first,100,rarest-first,0,15,450,0.9842
100-rarest-first,100,rarest-first,0,16,480,0.9909
100-rarest-first,100,rarest-first,0,17,510,0.994
100-rarest-first,100,rarest-first,0,18,540,0.9975
100-rarest-first,100,rarest-first,0,19,570,0.9992
100-rarest-first,100,rarest-first,0,20,600,1
100-rarest-first,100,rarest-first,0,21,630,1
100-rarest-first,100,rarest-first,0,22,660,1
100-rarest-first,100,rarest-first,0,23,690,1
100-replication-geo,100,replication,1,0,0,0.0186
100-replication-geo,100,replication,1,1,30,0.0646
100-replication-geo,100,replication,1,2,60,0.1385
100-replication-geo,100,replication,1,3,90,0.2054
100-replication-geo,100,replication,1,4,120,0.2708
100-replication-geo,100,replication,1,5,150,0.3261
100-replication-geo,100,replication,1,6,180,0.3959
100-replication-geo,100,replication,1,7,210,0.4481
100-replication-geo,100,replication,1,8,240,0.4951
100-replication-geo,100,replication,1,9,270,0.5263
100-replication-geo,100,replication,1,10,300,0.5514
100-replication-geo,100,replication,1,11,330,0.5687
100-replication-geo,100,replication,1,12,360,0.5852
100-replication-geo,100,replication,1,13,390,0.6011
100-replication-geo,100,replication,1,14,420,0.6089
100-replication-geo,100,replication,1,15,450,0.6121
100-replication-geo,100,replication,1,16,480,0.6134
100-replication-geo,100,replication,1,17,510,0.6134
100-replication-geo,100,replication,1,18,540,0.6134
100-replication-geo,100,replication,1,19,570,0.6134
100-replication-geo,100,replication,1,20,600,0.6134
100-replication-geo,100,replication,1,21,630,0.6134
100-replication-geo,100,replication,1,22,660,0.6134
100-replication-geo,100,replication,1,23,690,0.6134
100-replication,100,replication,0,0,0,0.0219
100-replication,100,replication,0,1,30,0.0753
100-replication,100,replication,0,2,60,0.1614
100-replication,100,replication,0,3,90,0.2417
100-replication,100,replication,0,4,120,0.315
100-replication,100,replication,0,5,150,0.3772
100-replication,100,replication,0,6,180,0.4773
100-replication,100,replication,0,7,210,0.5713
100-replication,100,replication,0,8,240,0.6374
100-replication,100,replication,0,9,270,0.7033
100-replication,100,replication,0,10,300,0.7711
100-replication,100,replication,0,11,330,0.8177
100-replication,100,replication,0,12,360,0.848
100-replication,100,replication,0,13,390,0.8829
100-replication,100,replication,0,14,420,0.9219
100-replication,100,replication,0,15,450,0.9551
100-replication,100,replication,0,16,480,0.9735
100-replication,100,replication,0,17,510,0.9837
100-replication,100,replication,0,18,540,0.9899
100-replication,100,replication,0,19,570,0.9943
100-replication,100,replication,0,20,600,0.9979
100-replication,100,replication,0,21,630,0.9991
100-replication,100,replication,0,22,660,1
100-replication,100,replication,0,23,690,1
20-no-coop-geo,20,no-coop,1,0,0,0.0276
20-no-coop-geo,20,no-coop,1,1,30,0.0537
20-no-coop-geo,20,no-coop,1,2,60,0.0822
20-no-coop-geo,20,no-coop,1,3,90,0.1079
20-no-coop-geo,20,no-coop,1,4,120,0.136
20-no-coop-geo,20,no-coop,1,5,150,0.162
20-no-coop-geo,20,no-coop,1,6,180,0.1912
20-no-coop-geo,20,no-coop,1,7,210,0.219
20-no-coop-geo,20,no-coop,1,8,240,0.2482
20-no-coop-geo,20,no-coop,1,9,270,0.2745
20-no-coop-geo,20,no-coop,1,10,300,0.2995
20-no-coop-geo,20,no-coop,1,11,330,0.3242
20-no-coop-geo,20,no-coop,1,12,360,0.3483
20-no-coop-geo,20,no-coop,1,13,390,0.369
20-no-coop-geo,20,no-coop,1,14,420,0.3897
20-no-coop-geo,20,no-coop,1,15,450,0.4078
20-no-coop-geo,20,no-coop,1,16,480,0.4261
20-no-coop-geo,20,no-coop,1,17,510,0.4439
20-no-coop-geo,20,no-coop,1,18,540,0.462
20-no-coop-geo,20,no-coop,1,19,570,0.4758
20-no-coop-geo,20,no-coop,1,20,600,0.4893
20-no-coop-geo,20,no-coop,1,21,630,0.5069
20-no-coop-geo,20,no-coop,1,22,660,0.5203
20-no-coop-geo,20,no-coop,1,23,690,0.5328
20-no-coop,20,no-coop,0,0,0,0.0291
20-no-coop,20,no-coop,0,1,30,0.0557
20-no-coop,20,no-coop,0,2,60,0.0816
20-no-coop,20,no-coop,0,3,90,0.1083
20-no-coop,20,no-coop,0,4,120,0.1359
20-no-coop,20,no-coop,0,5,150,0.1608
20-no-coop,20,no-coop,0,6,180,0.1896
20-no-coop,20,no-coop,0,7,210,0.2166
20-no-coop,20,no-coop,0,8,240,0.2421
20-no-coop,20,no-coop,0,9,270,0.2679
20-no-coop,20,no-coop,0,10,300,0.2943
20-no-coop,20,no-coop,0,11,330,0.3217
20-no-coop,20,no-coop,0,12,360,0.3479
20-no-coop,20,no-coop,0,13,390,0.3769
20-no-coop,20,no-coop,0,14,420,0.4052
20-no-coop,20,no-coop,0,15,450,0.433
20-no-coop,20,no-coop,0,16,480,0.4604
20-no-coop,20,no-coop,0,17,510,0.4861
20-no-coop,20,no-coop,0,18,540,0.513
20-no-coop,20,no-coop,0,19,570,0.5406
20-no-coop,20,no-coop,0,20,600,0.5678
20-no-coop,20,no-coop,0,21,630,0.5946
20-no-coop,20,no-coop,0,22,660,0.6227
20-no-coop,20,no-coop,0,23,690,0.6505
20-rarest-first-geo,20,rarest-first,1,0,0,0.0201
20-rarest-first-geo,20,rarest-first,1,1,30,0.0578
20-rarest-first-geo,20,rarest-first,1,2,60,0.0999
20-rarest-first-geo,20,rarest-first,1,3,90,0.1567
20-rarest-first-geo,20,rarest-first,1,4,120,0.2104
20-rarest-first-geo,20,rarest-first,1,5,150,0.2573
20-rarest-first-geo,20,rarest-first,1,6,180,0.3418
20-rarest-first-geo,20,rarest-first,1,7,210,0.4153
20-rarest-first-geo,20,rarest-first,1,8,240,0.4564
20-rarest-first-geo,20,rarest-first,1,9,270,0.4977
20-rarest-first-geo,20,rarest-first,1,10,300,0.5252
20-rarest-first-geo,20,rarest-first,1,11,330,0.5408
20-rarest-first-geo,20,rarest-first,1,12,360,0.5681
20-rarest-first-geo,20,rarest-first,1,13,390,0.5909
20-rarest-first-geo,20,rarest-first,1,14,420,0.6094
20-rarest-first-geo,20,rarest-first,1,15,450,0.6154
20-rarest-first-geo,20,rarest-first,1,16,480,0.6166
20-rarest-first-geo,20,rarest-first,1,17,510,0.6173
20-rarest-first-geo,20,rarest-first,1,18,540,0.6173
20-rarest-first-geo,20,rarest-first,1,19,570,0.6173
20-rarest-first-geo,20,rarest-first,1,20,600,0.6173
20-rarest-first-geo,20,rarest-first,1,21,630,0.6173
20-rarest-first-geo,20,rarest-first,1,22,660,0.6173
20-rarest-first-geo,20,rarest-first,1,23,690,0.6173
20-rarest-first,20,rarest-first,0,0,0,0.0244
20-rarest-first,20,rarest-first,0,1,30,0.0695
20-rarest-first,20,rarest-first,0,2,60,0.125
20-rarest-first,20,rarest-first,0,3,90,0.1949
20-rarest-first,20,rarest-first,0,4,120,0.2618
20-rarest-first,20,rarest-first,0,5,150,0.325
20-rarest-first,20,rarest-first,0,6,180,0.4375
20-rarest-first,20,rarest-first,0,7,210,0.5398
20-rarest-first,20,rarest-first,0,8,240,0.6123
20-rarest-first,20,rarest-first,0,9,270,0.6777
20-rarest-first,20,rarest-first,0,10,300,0.751
20-rarest-first,20,rarest-first,0,11,330,0.8078
20-rarest-first,20,rarest-first,0,12,360,0.85
20-rarest-first,20,rarest-first,0,13,390,0.8798
20-rarest-first,20,rarest-first,0,14,420,0.9151
20-rarest-first,20,rarest-first,0,15,450,0.949
20-rarest-first,20,rarest-first,0,16,480,0.9771
20-rarest-first,20,rarest-first,0,17,510,0.9893
20-rarest-first,20,rarest-first,0,18,540,0.9937
20-rarest-first,20,rarest-first,0,19,570,0.9987
20-rarest-first,20,rarest-first,0,20,600,1
20-rarest-first,20,rarest-first,0,21,630,1
20-rarest-first,20,rarest-first,0,22,660,1
20-rarest-first,20,rarest-first,0,23,690,1
20-replication-geo,20,replication,1,0,0,0.0201
20-replication-geo,20,replication,1,1,30,0.0569
20-replication-geo,20,replication,1,2,60,0.0923
20-replication-geo,20,replication,1,3,90,0.1342
20-replication-geo,20,replication,1,4,120,0.169
20-replication-geo,20,replication,1,5,150,0.203
20-replication-geo,20,replication,1,6,180,0.2915
20-replication-geo,20,replication,1,7,210,0.3671
20-replication-geo,20,replication,1,8,240,0.4225
20-replication-geo,20,replication,1,9,270,0.4596
20-replication-geo,20,replication,1,10,300,0.5068
20-replication-geo,20,replication,1,11,330,0.5293
20-replication-geo,20,replication,1,12,360,0.5524
20-replication-geo,20,replication,1,13,390,0.5731
20-replication-geo,20,replication,1,14,420,0.5901
20-replication-geo,20,replication,1,15,450,0.6054
20-replication-geo,20,replication,1,16,480,0.6119
20-replication-geo,20,replication,1,17,510,0.6164
20-replication-geo,20,replication,1,18,540,0.617
20-replication-geo,20,replication,1,19,570,0.6173
20-replication-geo,20,replication,1,20,600,0.6173
20-replication-geo,20,replication,1,21,630,0.6173
20-replication-geo,20,replication,1,22,660,0.6173
20-replication-geo,20,replication,1,23,690,0.6173
20-replication,20,replication,0,0,0,0.0244
20-replication,20,replication,0,1,30,0.0673
20-replication,20,replication,0,2,60,0.1162
20-replication,20,replication,0,3,90,0.1726
20-replication,20,replication,0,4,120,0.2239
20-replication,20,replication,0,5,150,0.2701
20-replication,20,replication,0,6,180,0.3665
20-replication,20,replication,0,7,210,0.473
20-replication,20,replication,0,8,240,0.5597
20-replication,20,replication,0,9,270,0.6275
20-replication,20,replication,0,10,300,0.6916
20-replication,20,replication,0,11,330,0.7526
20-replication,20,replication,0,12,360,0.8146
20-replication,20,replication,0,13,390,0.8497
20-replication,20,replication,0,14,420,0.881
20-replication,20,replication,0,15,450,0.914
20-replication,20,replication,0,16,480,0.9461
20-replication,20,replication,0,17,510,0.9661
20-replication,20,replication,0,18,540,0.9764
20-replication,20,replication,0,19,570,0.9845
20-replication,20,replication,0,20,600,0.9905
20-replication,20,replication,0,21,630,0.9905
20-replication,20,replication,0,22,660,0.9949
20-replication,20,replication,0,23,690,0.9962
50-no-coop-geo,50,no-coop,1,0,0,0.0278
50-no-coop-geo,50,no-coop,1,1,30,0.0553
50-no-coop-geo,50,no-coop,1,2,60,0.0838
50-no-coop-geo,50,no-coop,1,3,90,0.1117
50-no-coop-geo,50,no-coop,1,4,120,0.1391
50-no-coop-geo,50,no-coop,1,5,150,0.1657
50-no-coop-geo,50,no-coop,1,6,180,0.1935
50-no-coop-geo,50,no-coop,1,7,210,0.22
50-no-coop-geo,50,no-coop,1,8,240,0.2493
50-no-coop-geo,50,no-coop,1,9,270,0.2766
