[    4423ms] [LOG] myLocationRenderMode not available in web @ http://localhost:8788/dart_sdk.js:32230
[ 4575551ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575589ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575627ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575667ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575707ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575748ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575789ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575828ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575867ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575904ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575943ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4575984ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576024ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576068ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576105ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576143ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576178ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576216ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576253ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576291ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576328ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576366ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576403ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576440ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576478ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576514ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576553ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4576600ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4577289ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.65000000000002, 121.04999999999995), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4577326ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000016, 121.04999999999995), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4579716ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.50000000000007, 121.05000000000223), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
