run,sample_index,current_ua,voltage_uv,battery_status,power_mw
6,21,-117187,4097031,Not charging,480.12
6,22,-114062,4097343,Not charging,467.35
6,23,-91562,4099218,Not charging,375.33
6,24,-85625,4099218,Not charging,351.0
6,25,-75312,4097187,Not charging,308.57
6,26,-92812,4097343,Not charging,380.28
6,27,-91562,4098281,Not charging,375.25
6,28,-530937,4065468,Not charging,2158.51
6,29,-90625,4099375,Not charging,371.51
6,30,-129687,4096875,Not charging,531.31
6,31,-126250,4095468,Not charging,517.05
6,32,-91562,4100000,Not charging,375.4
6,33,-101875,4097656,Not charging,417.45
6,34,-100625,4097031,Not charging,412.26
6,35,-98750,4096562,Not charging,404.54
6,36,-99062,4097968,Not charging,405.95
6,37,-133437,4095625,Not charging,546.51
6,38,349062,4137656,Not charging,1444.3
6,39,451875,4146875,Not charging,1873.87
6,40,443437,4145937,Not charging,1838.46
6,41,455937,4147968,Not charging,1891.21
6,42,410625,4144375,Not charging,1701.78
6,43,423125,4145468,Not charging,1754.05
6,44,427500,4149218,Not charging,1773.79
6,45,431250,4148281,Not charging,1788.95
6,46,424062,4148437,Not charging,1759.19
6,47,415000,4130625,Not charging,1714.21
6,48,394687,4147343,Not charging,1636.9
6,49,427500,4150000,Not charging,1774.12
6,50,422812,4149531,Not charging,1754.47
6,51,456250,4151093,Not charging,1893.94
6,52,463125,4153750,Not charging,1923.71
6,53,456875,4153125,Not charging,1897.46
6,54,453437,4154843,Not charging,1883.96
6,55,460000,4154843,Not charging,1911.23
6,56,444375,4152187,Not charging,1845.13
6,57,407812,4153906,Not charging,1694.01
6,58,432187,4154843,Not charging,1795.67
6,59,448125,4149687,Not charging,1859.58
6,60,141562,4129531,Not charging,584.58
